Adventure Code,Adventure Title,Tier,APL,Runtime,Consumables,Magic Items,,Spellbooks,Story Awards,,Author,Treasure (GP),Min/Max XP Legacy,ACP,TP,Renown,Downtime
CCC-KKALGO-02-01,Honeybee Mayhem,1-4,,2,,Lantern of Revealing,,,,,,,,,,,
CCC-KUMORI-01-01,Wreckers,1-4,3,2,"Potion of Healing, Spell Scroll of Lesser Restoration",Gem of Brightness,,,,,,514+,450/600,2,2,0.5,5
CCC-KUMORI-01-02,Wretches,1-4,3,2,"Potion of Fire Breath, Spell Scroll of Knock",Robe of Useful Items,,, Crespo’s Ire,,,565+,450/600,2,2,0.5,5
CCC-KUMORI-02-01,Vacant,1-4,,2,,Heward's Handy Spice Pouch,,,TPVoid,,,,,,,,
CCC-KUMORI-02-02,School Magic,1-4,,2,Spell Scroll of Silence,Boots of Elvenkind,,,A Fair Trade,,,,,,,,
CCC-KUMORI-02-04,To Be The Very Best,1-4,3,2,"Potion of Hill Giant Strength
Potion of Healing
Scroll of Absorb Elements","Wild Monster Capture Cards
(Deck of Illusions) ","Shadowneedle
(Unbreakable Arrow)",,"Caught Them All,
Top of the Colliseum
",,,150 - 800,460/600,2,2,"1 (Potential +1 for Harpers, Emerald Enclave)",5
CCC-KUMORI-03-01,Protégé of the Trampling Forest,,,,,,,,,,,,,,,,
CCC-KUMORI-03-02,The Millwright of Gond ,,,,,,,,,,,,,,,,
CCC-KUMORI-03-03,Scales of Justice: A Moonsea Adventure,1-4,,2,"Potion of Growth, Spell Scroll of Fog Cloud",Helm of Comprehending Languages,Horn of Silent Alarm,,,,,,,,,,
CCC-LINKS-01,Champion of the People,5-10,9,4,-,Belt of Hill Giant Strength,-,,,,,1800,6000/7500,4,4,1,10
CCC-LINKS-02,The Secrets We Keep,11-16,12,4,"Potion of Heroism, Spell Scroll of Dream",Dancing Sword (Rapier),,,,,,8900,10500/11500,4,8,1,10
CCC-MACE01-01,The Blight of Geoffrey,1-4,2,4,,Pipes of Haunting,,,,,,815,900/1200,4,4,1,10
CCC-MACE01-02,A Panthers Peril,1-4,3,4,"Potion of Hill Giant Strength, Potion of Poison",Javelin of Lightning,,,,,,710,600/1200,4,4,1,10
CCC-MACE01-03,Haunted Memories,1-4,3,4,"Scroll of Cure Wounds (2nd level), Scroll of Heroism, Potion of Healing",Longsword of Vengeance,,,Story Award: Art Curator,,,789.6,900/1200,4,4,1,10
CCC-MAG01-01 ,Mischief at the Festival ,1-4,,4 x 1 hr,,-,,Dr. Dalathon's Spellbook,A Dapper Familiar,,,,,,,,
CCC-MAG01-02,Murder at the Festival!,5-10,,2,Ammunition +2 (Arrow),Bag of Tricks (Tan),Wand of Smiles,,Enmity of Etana,,,,,,,,
CCC-MAG01-03,The Clock that Didn't Tick,11-16,,4,"Potion of Vitality, Elixer of Health, Potion of Invulnerability",Cape of the Mountebank,,,"Etana's Enmity
Friend of Fastfingers",,,,,,,,
CCC-MALTH-001,Selûne's Tear,5-10,,4,Potion of Healing,Lantern of Revealing,,,We Are Indebted To You,,,,,,,,
CCC-MALTH-002,The Jackals Justice,5-10,,4,,Instrument of the Bards (Doss Lute),,,The Jackal’s Enmity,,,,,,,,
CCC-MALTH-003, Fires Demise,5-10,,4,,Necklace of Fireballs,,,Protector of the People,,,,,,,,
CCC-MAYDAYS-01,The Bandit's Mark ,,,,,,,,,,,,,,,,
CCC-MAYDAYS-02-01,King Obould's Fist,,,,,,,,,,,,,,,,
CCC-MCX-01,All in a Day’s Work,1-4,3,2,Potion of Healing,Circlet of Blasting,,,,,,225,450/600,2,2,0.5,5
CCC-MCX01-02,The Rescue,1-4,3,2,,Cloak of Billowing,,,,,,10 gp ea.,450/600,2,2,0.5,5
CCC-MELB-01,A Single Tearfall,5-10,,2,Potion of Superior Healing,Wand of Magic Detection,Cloak of Many Fashions,,,,,,,,,,
CCC-MELB-02,The Sunken Sepulcher,1-4,,2,"Potion of Greater Healing, Spell Scroll of Web",Lantern of Revealing,,,,,,,,,,,
CCC-MIND01-01,Lost in Thought,11-16,13,4,"Potion of Greater Healing, Oil of Sharpness, Potion of Invulnerability",Crystal Ball (Very Rare),,,,,,5800,10125/13500,4,8,1,10
CCC-MIND01-02,Mind Trip,11-16,13,4,"Potion of Greater Healing (2), Potion of Invulnerability",Ring of Regeneration,,,,,,7200,10125/13500,4,8,1,10
CCC-MIND01-03,Dream Walkers,11-16,13,4,"Scroll of Power Word Pain or Symbol, Scroll of Mass Suggestion",Wand of the War Mage +3,Wicked Scroll Tube,,,,,8000,10125/13500,4,8,1,10
CCC-MMT-01-01,Secrets of Imaginary Friends,1-4,,2,"Potion of Healing, Spell Scroll of Absorb Elements",Helm of Comprehending Languages,,,"Not So Imaginary Friend
Madness of Tharizdun",,,,,,,,
CCC-MMT-01-02,A Little Competition Never Hurt Anyone ,1-4,,2,"Potion of Healing, Spell Scroll of Bless",Mariner's Armor (Breastplate),,,"I’m Game
Rotten Luck",,,,,,,,
CCC-MMT-01-03,Honorable Dissent,1-4,,2,"Potion of Resistance, Spell Scroll of Invisibility",Wand of Secrets,,,,,,,,,,,
CCC-MMT-01-05,Secrets of the Cure,1-4,,2,"Potion of Healing, Spell Scroll of Snare",Decanter of Endless Water,,,,,,,,,,,
CCC-MMT-02-01 ,The Stuff of Memories,5-10,,2,"Potion of Radiant Resistance, Spell Scroll of Shield of Faith",Amulet of Proof against Detection and Location,,,Madness of Tharizdun,,,,,,,,
CCC-MTL-02,House of Revenance,5-10,,2,Spell Scroll of Revivify,Ring of Mind Shielding,Moon-Touched Greatsword,,"Knowledge of House Zaunmice
Dark Consequences",,,,,,,,
CCC-MTL-03,House of Webs,5-10,8,2-4,"Potion of Invulnerability, Potion of Heroism","Slippers of the Arachnomancer (Slippers of Spider Climbing, War Leader minor property)",Axehead's Coat of Beaks (Spiked Armor of Gleaming),,Knowledge of House Ouss'Nassath,,,,,,,,
CCC-MWGF-01,The Constellation,5-10,,2,Potion of Necrotic Resistance,Necklace of Adaptation,Pole of Angling,,Star of the Deep,,,,,,,,
CCC-MYR-01,Friends in Need,5-10,,4,Potion of Greater Healing,War Pick +2,,,"Chapped
Wormspur",,,,,,,,
CCC-NBDD01-01,Clever,5-10,,2,Potion of Greater Healing,Portable Hole,,Tyrant Lizard Transporter’s Spellbook ,,,,,,,,,
CCC-NBDD01-02,Where Can She Be,5-10,,2,,Hat of Disguise,Clockwork Amulet,,Do It A Capella,,,,,,,,
CCC-NUKE-01-01,The Blighted Sun,1-4,3,4,Potion of Healing,Durgin's Dice (Luckstone),,,"A Jar of Gratitude, Magenta's Thanks, The Sting of the Zors",,,152,600/1200,4,4,1,10
CCC-NUKE-01-02,Hide and Seek,1-4,3,4,"Potion of Healing, Alchemist's Fire","Tombee's ""Dubbayoodee"" (Oil of Slipperiness)",,,"""Bee-Trusting"", ""Bee-Trayed!"", ""BEE-GONE!""; Downtime Activity - Shadow the Shadows",,,775,600/1200,4,4,1*,10
CCC-NUKE-01-03,The Gift of Arvandor,1-4,,2,"Potion of Hill Giant Strength, Spell Scroll of Heroism",,,,"No One Will BEE-lieve Us
A Jar of Recognition",,,,,,,,
CCC-NUKE-01-04,Honey Pass the Preserves,5-10,,4,,Hat of Disguise,Unbreakable Arrow,,"Sticky, but Clean",,,,,,,,
CCC-NUKE-01-05,Take A Bough (Plan Bee From Outer Space),,,,,,,,,,,,,,,,
CCC-NUKE-02-01,One Fowl Soup,1-4,4,2,Potion of Fire Resistance,Lantern of Revealing,Cloak of Billowing,,,,,500,,,,,
CCC-NUKEPIP-01-01,Reinforcements - On Ice ,,,,,,,,,,,,,,,,
CCC-OA-01-01, When Mages Fall,1-4,,2,"Potion of Growth, Potion of Healing",Helm of Comprehending Languages,Hat of Wizardry,,Mark of the Sisterhood,,,,,,,,
CCC-OCC-01,Red War: Housekeeping,11-16,13,4-6,"Scroll of Contingency, Potion of Superior Healing, Oil of Sharpness",Syranna’s Folly (Oathbow).,,,Our Strength is Absolute.,,,,,,,,
CCC-OCC-02,Feast of the Moon,1-4,,2,,Dread Helm,,,,,,,,,,,
CCC-ODFC01-01,Hammer and Anvil,1-4,3,4,"Potion of Healing, Spell Scrolls of Faerie Fire, Gaseous Form,",Gauntlets of Ogre Power,, Madred's Spellbook,"Story Awards: Mushroom of Connection, Friend of Clan Rumnaheim",,,520+,900/1200,4,4,1,10
CCC-ODFC01-02,"Black Blades, Black Wings",5-10,8,4,"Potion of Greater Healing, Drow Poison",Rope of Entanglement,,,"Story Awards: I’ve Fallen But I Got Up, Chaotic Blessing of the Queen of Spiders, Challenge Coin of the Citadel",,,1970+,4500/6000,4,4,1,10
CCC-ODFC01-03,Elders' Eyes Upon You,11-16,15,4,"Potion of Superior Healing, Spell Scroll of Elemental Bane, Locate Creature",Spellguard Shield,,#ERROR!,"Story Awards: And the Chaos Stared Back, Chaos Warped, Elemental Spells: A Treatise on Manipulating Reality, Shan’s Troubleshooter",,,15300+,15000/20000,4,8,1,10
CCC-ODFC02-01,Serenade of Pain,1-4,3,4,Potion of Healing,Ripper's Claw (Scimitar +1),,,"Story Awards: The Worms that See, To Wear the Cloak",,,560,900/1200,4,4,1,10
CCC-ODFC02-02,Palace of the Efreeti,5-10,8,4,"Potion of Herosim (X), Potion of Fire Resistance (2), 1-5th Level Spell Scroll (X)",Vault of the Efreeti (Portable Hole),Trinket: Efreeti Crown of Wishes,,"Story Awards: Servant of the Pasha, Favor of House Peytir, To Wear the Cloak",,,5600,4500/6000,4,4,1,10
CCC-ODFC02-03,Night's Bright Dawning,11-16,13,4,"Potion of Longevity, Potion of Heroism, Scroll of Dawn, Scroll of Mass Cure Wounds",Midnight Phaeton's Horn (Any +3 Melee Piercing Weapon),,Naivara's Spellbook,"Story Award: Investor in the Future, Wrath of the Fey, Fate of the Recipe",,,10500,10125/13500,4,8,1,10
CCC-ODFC03-01 ,A Momentary Lapse of Reason,1-4,3,2-4,Potion of Greater Healing,Mithral Scale Mail,Instrument of Illusions (Flute),,"The Respect of Astarlax
Champion of the Displaced",,,,,,,,
CCC-ODFC03-02,Orchestration of Havoc,,,,,,,,,,,,,,,,
CCC-ODFC03-03,Removing the Taint,11-16,,4,,Figurine of Wondrous Power (Marble Elephant),Tankard of Sobriety,,Friend of the Clan Rumnaheim,,,,,,,,
CCC-ODFC04-01,The Cause of All Life’s Problems,1-4,3,2,,Chest of Preserving,Decanter of Endless Water,,,,,,,,,,
CCC-OHAYOCON-01-03 ,Fiendly Competition,5-10,,2,"Potion of Fire Resistance, Potion of Invulnerability",Necklace of Fireballs,Staff of Birdcalls,,Mark of the Sisterhood,,,,,,,,
CCC-PDXAGE-0101,The White Well,1-4,3,2,Potion of Healing,Adamantine Chain Shirt,-,,Divine Portents,,,290,450/600,2,2,0.5,5
CCC-PDXAGE-0201,The Dark Hunt,5-10,6,2,-,Rapier of Life Stealing,-,,"Glimmercoal’s Ire
Ally of the Forest",,,850,1500/2000,2,2,0.5,5
CCC-PFF02-01 ,Mystery of the White Worm,,,,,,,,,,,,,,,,
CCC-PFF-03-01 ,Hints at Imbalance: Rumors of Moloch,,,,,,,,,,,,,,,,
CCC-PHA-01,Six Summoned Swords,5-10,8,4,Potion of Speed,Helm of Teleportation (Weave),,,Story Award: Swords Below the Moonsea 3-Letter Code,,,5000,4500/6000,4,4,1,10
CCC-Pipyap-PhAL03-01,Lost Holy Man: Portal Chase through Maladomini,,,,,,,,,,,,,,,,
CCC-PIPYAPS,Glasya's Little Helpers,5-10,,4,"Potion of Heroism, Spell Scroll of Leomund's Tiny Hut",Yklwa of Warning,,,Banned: Stygia,,,,,,,,
CCC-PIPYAPS-DH1 ,Breaking Bes,1-4,3,4,Spell Scroll (Ceremony),"Horseshoes of Speed, Sentinel Property (Undead)",Talking Doll,,,,,,,,,,
CCC-PPTDD01-01,Trouble Under Winton,1-4,,2,"Potion of Healing, Potion of Acid Resistance",Lantern of Revealing,,,,,,,,,,,
CCC-PRETZ-PLA01,The Mystery at Coppertop Manor,1-4,,2,"Potion of Climbing, Spell Scroll of Ceremony",Gloves of Climbing and Swimming,,,"Tinder Hearts
B&E",,,,,,,,
CCC-PRETZ-PLA02,A Mine of Their Own,1-4,,2,Potion of Healing,Boots of False Tracks,,,"A Piece in Time
Goblin Slayer",,,,,,,,
CCC-PRETZ-PLA03,The Necroforge,,,,,,,,,,,,,,,,
CCC-PRIORY-01,Maritime Mayhem,1-4,3,2,"Potion of Healing (5), Potion of Greater Healing",Tankard of Sobriety,,,Story Award: Initiate,,,250,450/600,2,2,0.5,5
CCC-PRIORY-02,Prison Pitfalls,1-4,3,2,"Potion of Healing, Potion of Resistance (Poison)",Scimitar +1,,,Story Award: Initiate,,,235,450/600,2,2,0.5,5
CCC-PRIORY-03,Truths in Time,1-4,3,2,Potion of Healing,Enduring Spellbook,,,"Story Award: Initiate, Story Award: Annabelle's Gratitude",,,225,450/600,2,2,0.5,5
CCC-PSA-01 ,In the Darkest of Times,,,,,,,,,,,,,,,,
CCC-QCC-2017,"Delusions of Grandeur, Dreams of Revenge",11-16,13,4,,Manual of Bodily Health,,Mage's Spellbook,,,,7000,10125/13500,4,8,1,10
CCC-QCC2018-01,Of Gods and Monsters,11-16,13,2,Potions of Flying and Superior Healing,Nine Lives Stealer Scimitar,,,The Ecology of the Tarrasque; Membership in the Royal Order of Tarrasque Herders; Run Away and Join the Circus; Honorary Bullywug,,,9200,5063/6750,2,4,0.5,5
CCC-QCC2018-02,Heart and Soul,5-10,8,2,"Elixir of Health, Philter of Love",Figurine of Wondrous Power (Bronze Griffin),,,Secret Identity; We Got the Beet; You've Got a Friend in Red,,,1260,2250/3000,2,2,0.5,5
CCC-QCC2019-01,Hillsfar's Rancid Webs,1-4,,2,"Potion of Fire Breath, Potion of Poison Resistance",Rope of Climbing,Pole of Collapsing,,Spider Friend,,,,,,,,
CCC-QCC2019-02,Hag of Tricks,,,,,,,,,,,,,,,,
CCC-QCC2019-03,The Scarlett Divide,11-16,,2,"Ammunition +2 (Bolt), Oil of Sharpness, Potion of Invulnerability",Staff of Healing,Horn of Silent Alarm,,"Hero of Hillsfar
Seeing Red",,,,,,,,
CCC-QCC2020-03,Run For The Money,,,,,,,,,,,,,,,,
CCC-QUAKE-01,Red War: Thayan Peace Keeper,1-4,,2,,Cloak of Many Fashions,,,You Look Like That One Person,,,,,,,,
CCC-RCC-01-01,Flight of the Forgemage,1-4,,2,"Potion of Healing, Spell Scroll of Protection from Evil and Good",Helm of Comprehending Languages,,,Cryptic Whispers,,,,,,,,
CCC-RCC-01-02,The King of Thar,1-4,,2,"Potion of Healing, Spell Scroll of Comprehend Languages",Immovable Rod,,,,,,,,,,,
CCC-RCC-01-03,Chains of Desperation,1-4,,2,"Potion of Fire Breath, Potion of Greater Healing",Folding Boat,Boots of False Tracks,,,,,,,,,,
CCC-RCC-01-04,Black Bliss,11-16,,2,"Potion of Superior Healing, Potion of Fire Giant Strength, Spell Scroll of Teleport",Scimitar of Life Stealing,,,Night Cutter,,,,,,,,
CCC-RCC-01-06,The Handfasting,11-16,13,4,"Potion of Superior Healing, Spell Scroll of Teleport",Periapt of Proof Against Poison,Multiple Special Commons randomly rolled. All have a 50% chance of breaking when used.,,Minor Noble,,,,,,,,
CCC-REAP-01,Red War: Lost Ashes of a Wayward Gnome,5-10,8,4,Scrolls of Protection from Undead and Tiny Servant,The Choralier’s Companion (Saddle of the Cavalier),,,Woodland Hospitality,,,3850,4500/6000,4,4,1,10
CCC-ROLL20-02,The Heir of Orcus: Verse III,5-10,,2,Potion of Heroism,Gem of Brightness,Cloak of Many Fashions,,"Detente, Cthulhu Cometh",,,,,,,,
CCC-ROZK01-1,Binder's Torment,11-16,13,4,"Potions of Greater Healing, Superior Healing, Speed","Wand of the War Mage, +2",,Black Leather Spellbook,"Heroes of Reclamation Day
Yellow-Bellied Cowards!
An Ally In the Ebon Tide",,,4250,11700/13760,4,8,1,10
CCC-ROZK01-2,Zhenatarim's Lament,11-16,13,4,"Potion of Superior Healing, Spell Scrolls of Enhance Ability, Forcecage, Simulacurum, Programmed Illusion",Tome of Leadership and Influence,,,Nature of the Weave,,,6550,11360/13360,4,8,1,10
CCC-ROZK01-3,Necromancer's Ascent,11-16,14,4,"Potions of Superior Healing, Vitality, Spell Scrolls of Circle of Death, Contingency, Mislead",Spellguard Shield,,,You've Got a Friend in Me,,,3500,14200/15600,4,8,1,10
CCC-RPR-01,Eyes of Blood,1-4,3,4,Potion of Fire Resistance,Rebel's Yell (Battleaxe +1),,,,,,1975,900/1200,4,4,1,10
CCC-RPSG-01,Ooze There?,1-4,3,4,Potion of Healing,Sovad's Staff of Flying (Broom of Flying),,,"Story Awards: The Broken Seal, Fenaria's Ire",,,747,900/1200,4,4,1,10
CCC-RPSG-02,Ooze Next?,5-10,,2,Spell Scroll of Rary's Telepathic Bond,Necklace of Adaptation,,,"Honorary Pearl Shell Salvager
The Second Seal",,,,,,,,
CCC-RPSG-03,Fenaria's Gambit,11-16,,4,"Potion of Heroism, Spell Scroll of Mind Blank, Spell Scroll of Teleportation Circle",Cube of Force,,,"Enemy of my Enemy
Fenaria's Redemption",,,,,,,,
CCC-RPSG-04,The Waystop,1-4,,2,"Potion of Poison, Spell Scroll of Heroism",Lantern of Revealing,,,,,,,,,,,
CCC-RPSG-05,Through the Ashes and Flames,1-4,,2,Potion of Fire Resistance (2),Decanter of Endless Water,,,,,,,,,,,
CCC-RPSG-06,Caravans and Crossings,1-4,,2,"Potion of Fire Breath, Spell Scroll of Enhance Ability",Immovable Rod,,,,,,,,,,,
CCC-RPSG-07,In Good Company (no longer available),1-4,,2,,Immovable Rod,,,,,,,,,,,
CCC-SAC-01,A Light in the Dark,11-16,13,4,"Potion of Speed, Potion of Superior Healing",Eefreeti Bottle,,,"Story Awards: Favor of Everbright, Ire of Everbright",,,,10125/13500,4,8,1,10
CCC-SAC-02,Fun With Fey,11-16,13,4,"Potion of Poison Resistance; Scrolls of Erupting Earth, Wall of Water, Melf's Minute Meteors, and Thunder Step",Cloak of Displacement,,,,,,6000,7000/11000,4,8,1,10
CCC-SAC-03,"They're Good Adventurers, Brent",1-4,3,2,"Potion of Fire Resistance, Potion of Animal Friendship",Immovable Rod,,,,,,,,,,,
CCC-SAC-04,One With the Storm,5-10,8,2 or 4,Potion of Hill Giant Strength,Javelin of Lightning,Moon-Touched Rapier,,,,,,,,,,
CCC-SAC-05,Fey In Hell,11-16,13,4,Potion of Diminution; Oil of Slipperiness; Potion of Speed,Wand of Wonder,,,Banned: Maladomini,,,,,,,,
CCC-SAC-06,"So, You Get Frogs",1-4,3,4,Potion of Fire Breath,Hat of Vermin,Cloak of the Manta Ray,,Banned - Minauros,,,,,,,,
CCC-SAF01-01,Between Garrock and a Hard Place,5-10,,2,,Elemental Gem (Yellow),,,,,,,,,,,
CCC-SAF02-01,Stygia: A Refuge In the Cold,,,,,,,,,,,,,,,,
CCC-SAF02-02 ,Frozen Contract,,,,,,,,,,,,,,,,
CCC-SALT01-01,Rumors of Riches,1-4,2,2,,Adamantine Chain Shirt or Adamantine Chain Mail,,,,,,544.6,450/600,2,2,0.5,5
CCC-SALT01-02,Moor Trouble,1-4,2,2,Potion of Healing, +1 Mace,,,,,,407,450/600,2,2,0.5,5
CCC-SALT01-03,Broken Halls of Goldahroud,1-4,2,4,"Potion of Healing, Scroll of Protection from Good/Evil",Quiver of Ehlonna,,Spellbook,,,,1046.01,900/1500,4,4,1,10
CCC-SALT02-01,Mulmaster's Meddling's,1-4,3,4,Potion of Healing (3),Periapt of Wound Closure,,,,,,525,900/1500,4,4,1,10
CCC-SALT02-02,Tower in the Valley,5-10,8,4,"Scroll of Tidal Wave, Scroll of Thunder Step",Brazier of Commanding Fire Elementals,,Spell Book: The Pages of the Lower Planes,,,,3200,4500/6000,4,4,1,10
CCC-SALT-02-05,The Darkness Never Forgets,5-10,8,4,Potion of Superior Healing; Scroll of Prayer of Healing,Cape of the Mountebank,,,,,,1250,3750/6250,,,,
CCC-SCAR01-01,Corrupted Artery,1-4,3,2,Potion of Healing,+1 Ornate Dagger,,,Gos’ Roadies,,,200-325,450/600,2,2,0.5,5
CCC-SCAR01-02,Glister By Light,1-4,3,4,Potion of Healing,Stone of Good Luck,,,"Respect of The House of Swords
Over and Above",,,300-450,900/1200,4,4,1,10
CCC-SCAR02-01 ,Glister By Dark,1-4,,4,,Rope of Climbing,Clockwork Amulet,,,,,,,,,,
CCC-SCAR02-02,Nature's Defense,1-4,,4,"Potion of Poison Resistance, Potion of Healing",-,,,"And My Horses Also!
At Least I Survived",,,,,,,,
CCC-SCAR03-01,Devotees of the Dagger,,,,,,,,,,,,,,,,
CCC-SCAR03-02,Secrets Underneath Glister,,,,,,,,,,,,,,,,
CCC-SDREAM-01-01,"From Every Winter, Spring",1-4,3,2 - 4,Potion of Healing,Decanter of Endless Water,,,A Renewed Purpose and Quaint Country Home,,,,,,,,
CCC-SDREAM-01-03,The Best Laid Plans of Gnomes,11-16,13,4,Potion of Vitality,Daern's Instant Fortress,,,,,,,,,,,
CCC-SEA-01-01,All Good Dead Men ,1-4,,2,Potion of Greater Healing,Decanter of Endless Water,Talking Doll,,"You Sank My Gambling Ship!
Career as a Buccaneer",,,,,,,,
CCC-SEA-01-02,"Oh, Not the Bees!",5-10,,2,,Winged Boots,Heward's Handy Spice Pouch,,"You Sank My Gambling Ship!
Looking as Robust as Randy",,,,,,,,
CCC-SEA-01-03,Stargazing on the Albatross,11-16,,4,"Soul Coin, Spell Scroll of Fabricate, Spell Scroll of Simulacrum",Bag of Devouring,Cloak of Many Fashions,Qissynytyr’s Spellbook,"Carnie Makeover
My Child has Tentacles",,,,,,,,
CCC-SFBAY-01-01,Plots in Motion,5-10,8,4 or 8,Oil of Sharpness,"""Smoke"" (+2 Shortsword)",,Rider's Spellbook,,,,668,None Listed,4 or 8,4 or 8,1 or 2,10 or 20
CCC-SFBAY-02-01,Old Enemies Arise,5-10,8,4,"Potion of Growth, Potion of Animal Friendship",Cloak of Displacement,,Lasharra's Spellbook,,,,3425,3000/9000,4,4,1,10
CCC-SFBAY-02-02,Rise of the Ogre King,5-10,8,4,,Amulet of Health,,Traveling Spellbook,Enemies of Justice; Fangjaws Citizen; Knight of the Silver Dragon; Rashemi Regard; Pawn of Thay,,,2400+,3000/9000,4,4,1,10
CCC-SFBAY-02-03,The Risen Minotaur Lord,5-10,,4,"Potion of Greater Healing, Potion of Invulnerability",Belt of Hill Giant Strength,,,"Rashemi Regard 
Honorary Wychlaran (Female spellcasters of good or neutral alignment only)
Fangjaws Citizen
Fangjaws Noble",,,,,4,4,1,10
CCC-SFBAY-04-01,The Cornflower Hive,1-4,3,4,"Potion of Healing (3), Potion of Water Breathing, Scroll of Bless",Javelin of Lightning,,,Story Award: Goblinslayer,,,300,900/1200,4,4,1,10
CCC-SFBAY-04-02,Under Earth & Stone,5-10,8,2,"Crossbow Bolts +1 (10), Scroll of Speak with Animals, ",Traveler's Heart (Stone of Controlling Earth Elementals),,,Downtime Activity: The Silk Trade,,,1920,2250/3000,2,2,0.5,5
CCC-SFBAY-04-03,The Ashen Scar,1-4,3,2,"Potion of Healing, Arrows +1 (10)",Boots of Elvenkind,,,"Story Awards: Draught of the Feywild, Cloaks of Mulmaster",,,1168,450/600,2,2,0.5,5
CCC-SHINY-02,An Open Secret,1-4,3,2,,Eyes of the Eagle,,,,,,1525,450/600,2,2,0.5,5
CCC-SHINY-04,Elusion of Grand Yore,5-10,,4,"Potion of Diminution, Potion of Growth",Gem of Seeing,Pipe of Smoke Monsters,Grimblr’s Spellbook,Delusional Misidentification,,,,,,,,
CCC-SKULL01-01,A Murder Most Foul,5-10,,4,Potion of Healing,Heward's Handy Haversack,,,Friend of the Fallen,,,,,,,,
CCC-SKULL01-02,Not All Who Are Lost Should Be Found,5-10,,4,Potion of Greater Healing,Wand of Magic Missiles,,,,,,,,,,,
CCC-SKULL01-03,Who Pulls the Strings,5-10,,4,"Spell Scroll of Fear, Spell Scroll of Fly",Dimensional Shackles,,,,,,,,,,,
CCC-SLMH01-01,Codex Venator-The Last Hunter,5-10,,4,Potion of Healing (4),-,,,Newblood hunters,,,,,,,,
CCC-SQC-001,The Woodland Sage,5-10,8,4,,Staff of Charming,,,,,,1800 or 2000,4500/7500,4,4,1,10
CCC-SQC-0201,None the Wiser,5-10,,4,,,,,,,,,,4,4,1,10
CCC-SQC-0202,Last Gasp,5-10,8,4,Potion of Fire Giant Strength; Scroll of Passwall,Elven Chain,,,,,,600+2000,4500/7500,4,4,1,10
CCC-SQC-03-01,Consumption,5-10,,4,,Wand of Secrets,Pipe of Smoke Monsters,,"The Pursuit of Knowledge
Celia the Squirrel",,,,,,,,
CCC-SQC-03-02,Shiitake,5-10,,2,"Potion of Climbing, Potion of Heroism",Winged Boots,Heward's Handy Spice Pouch,,"Time is of Your Essence
Crazy Squirrel (Cleric)",,,,,,,,
CCC-SQC-03-03,Toxicity,5-10,,2,Potion of Acid Resistance,Bag of Tricks (Rust),Horn of Silent Alarm,,"My Dreams Taste Like Raspberries
The Eldritch Squirrel",,,,,,,,
CCC-SRCC01-01,Trouble in the Old City,1-4,3,2,"Potion of Healing, Scroll of Protection from Poison",Slippers of Spider Climb,,,"Hold onto Your Butts!
Local Pursuit
Ylraphon Adventurers Guild",,,796.8,450/600,2,2,0.5,5
CCC-SRCC01-02,Down the River of Snakes,1-4,3,2,"Potion of Healing, +1 Arrows (10)",Shortsword +1 (Foxblade),,,"Took Too Long
Local Pursuit
Ylraphon Adventurers Guild",,,749,450/600,2,2,0.5,5
CCC-SRCC01-03,Altar of the Smoldering Eye,1-4,3,2,Potion of Healing,Staff of the Adder,,,"Captured!
Local Pursuit
Ylraphon Adventurers Guild",,,795,450/600,2,2,0.5,5
CCC-ST2-1,Red War: Embassy of Evil,5-10,,4,"Potion of Greater Healing, Spell Scroll of Animate Dead",Mantle of Spell Resistance,,MuLen’s Travelling Spellbook,"Favor of the Harpers
Prisoner of Thay",,,,,,,,
CCC-STORM-01,The Barrows of Solina,5-10,8,4,"Potion of Superior Healing, Scroll of Daylight",Dawnfire (Sun Blade),,,Story Award: Solina's Blessing,,,1250,4500/6000,4,4,1,10
CCC-STORM-02,Swamp of Sorrow: Bloodpurge Village,5-10,,2,,Bag of Tricks (Tan),,,,,,,,,,,
CCC-SVH-01-01,Dawn of the Raven Lord,11-16,,4,"Potion of Healing, Potion of Invulnerability, Spell Scroll of Heal",Figurine of Wondrous Power (Serpentine Owl),,,Uthgardt Negotiator,,,,,,,,
CCC-SVH-01-02,Raven Lord's Aerie,11-16,,4,"Potion of Greater Healing, Potion of Healing, Spell Scroll of Slow",Vicious Glaive,,,"Raven Lord’s Lungs
Raven Lord’s Liver
Raven Lord’s Heart",,,,,,,,
CCC-SVH-01-03,Vault of the Raven Lord ,11-16,,4,"Potion of Fire Resistance, Potion of Greater Healing, Spell Scroll of Aid, Spell Scroll of Mordenkainen's Faithful Hound",Rod of Absorption,,,"Fallen Raven
Curse from the Shadows",,,,,,,,
CCC-SVH-03-01,Finder's Fiend,5-10,,2,"Spell Scroll of Mind Spike, Spell Scroll of Danse Macabre",Amulet of Proof against Detection and Location,,,Mark of the Sisterhood,,,,,,,,
CCC-TAROT-S1-01,A Long Night,1-4,,2,"Potion of Fire Breath, Spell Scroll of Scorching Ray",Immovable Rod,,,,,,,,,,,
CCC-TAROT01-01,Awakening of Fates,1-4,1,2,Potion of Healing (2),Ordine Sage’s Robes (Robe of Useful Items),,,"Story Awards: Touched by the Fates, Tarot of Fate (Devil): Upright, Tarot of Fate (Devil): Inverted",,,250,450/650,2,2,0.5,5
