Adventure Code,Adventure Title,Level Range,APL,Runtime,Consumables,Magic Items,,Fey Pacts,Story Awards,Author,Treasure (GP),Other/Special
WBW-DC-ZEP-T2S5,Off to the Races,5-10,6,2,"Potion of Water Breathing, Potion of Greater Healing, Potion of Growth","Elven Chain, Waterborne property",,"Greater Fey Pact: Title
Greater Fey Pact: Wealth (10,000gp)
Greater Fey Pact: Time Displacement
Lesser Fey Pact: Spell Casting","Fey Kinship, Charm of Darkvision, Charm of Heroism, Charm of Animal Conjuring, Real Baller Template, Saturday Night Fever, Lord of Zep, Fey's Most Talented, Check This Out, Charm of Vitality, Charm of Feather Falling, Mounted Zepitarian, Unicorn Alliance, Deputy Zepitarian, Uncommon Zepitarian Template, Rare Zepitarian Template, Very Rare Zepitarian Template, Legendary Zepitarian Template, Eesop's Wheat Fields, Chaos Chimera, Happy Harpy's Dairy, High Herbs, Infernal Tomatoes, Lettuce Licorice, Zuggtmoy's Mushrooms, Cold Ovens, Dorothy's Diary, Princess Petunia, Last Unicorn, Snazzy the Snail, Stinky the Lonely Dragon, Naggy's Negotiation, Archie the Archdruid, Befriending Artor Morin",,0,"Individual adventures not available separately.

Refers to invalid Hourly GP, suggests 'appropriate' gold but does not actually award it.

Offers open-ended Magical Gift of Training

Offers multiple Lesser Fey Pacts for common items not listed in treasure section"
WBW-DC-ZEP-T2S6,Formations of Fomorians,5-10,8,2,"Potion of Greater Healing, Potion of Fire Resistance, Spell Scroll of Thunder Step","Boots of Speed, Guardian property",,"Greater Fey Pact: Title
Greater Fey Pact: Wealth (10,000gp)
Greater Fey Pact: Time Displacement
Lesser Fey Pact: Spell Casting","Fey Kinship, Charm of Darkvision, Charm of Heroism, Charm of Animal Conjuring, Real Baller Template, Saturday Night Fever, Lord of Zep, Fey's Most Talented, Check This Out, Charm of Vitality, Charm of Feather Falling, Mounted Zepitarian, Unicorn Alliance, Deputy Zepitarian, Uncommon Zepitarian Template, Rare Zepitarian Template, Very Rare Zepitarian Template, Legendary Zepitarian Template, Eesop's Wheat Fields, Chaos Chimera, Happy Harpy's Dairy, High Herbs, Infernal Tomatoes, Lettuce Licorice, Zuggtmoy's Mushrooms, Cold Ovens, Dorothy's Diary, Princess Petunia, Last Unicorn, Snazzy the Snail, Stinky the Lonely Dragon, Naggy's Negotiation, Archie the Archdruid, Befriending Artor Morin",,0,"Individual adventures not available separately.

Refers to invalid Hourly GP, suggests 'appropriate' gold but does not actually award it.

Offers open-ended Magical Gift of Training

Offers multiple Lesser Fey Pacts for common items not listed in treasure section"
WBW-DC-ZEP-T2S7,Mazes and Magma,5-10,8,2,"Spell Scroll of Dispel Magic, Potion of Greater Healing, Potion of Fire Breath","Mantle of Spell Resistance, Temperate property",,"Greater Fey Pact: Title
Greater Fey Pact: Wealth (10,000gp)
Greater Fey Pact: Time Displacement
Lesser Fey Pact: Spell Casting","Fey Kinship, Charm of Darkvision, Charm of Heroism, Charm of Animal Conjuring, Real Baller Template, Saturday Night Fever, Lord of Zep, Fey's Most Talented, Check This Out, Charm of Vitality, Charm of Feather Falling, Mounted Zepitarian, Unicorn Alliance, Deputy Zepitarian, Uncommon Zepitarian Template, Rare Zepitarian Template, Very Rare Zepitarian Template, Legendary Zepitarian Template, Eesop's Wheat Fields, Chaos Chimera, Happy Harpy's Dairy, High Herbs, Infernal Tomatoes, Lettuce Licorice, Zuggtmoy's Mushrooms, Cold Ovens, Dorothy's Diary, Princess Petunia, Last Unicorn, Snazzy the Snail, Stinky the Lonely Dragon, Naggy's Negotiation, Archie the Archdruid, Befriending Artor Morin",,0,"Individual adventures not available separately.

Refers to invalid Hourly GP, suggests 'appropriate' gold but does not actually award it.

Offers open-ended Magical Gift of Training

Offers multiple Lesser Fey Pacts for common items not listed in treasure section"
WBW-DC-ZEP-T2S8,Fate of Zep,5-10,8,2,"Spell Scroll of Revivify, Potion of Fire Breath, Keoghtom's Ointment","Horn of Valhalla (Silver), War Leader property",,"Greater Fey Pact: Title
Greater Fey Pact: Wealth (10,000gp)
Greater Fey Pact: Time Displacement
Lesser Fey Pact: Spell Casting","Fey Kinship, Charm of Darkvision, Charm of Heroism, Charm of Animal Conjuring, Real Baller Template, Saturday Night Fever, Lord of Zep, Fey's Most Talented, Check This Out, Charm of Vitality, Charm of Feather Falling, Mounted Zepitarian, Unicorn Alliance, Deputy Zepitarian, Uncommon Zepitarian Template, Rare Zepitarian Template, Very Rare Zepitarian Template, Legendary Zepitarian Template, Eesop's Wheat Fields, Chaos Chimera, Happy Harpy's Dairy, High Herbs, Infernal Tomatoes, Lettuce Licorice, Zuggtmoy's Mushrooms, Cold Ovens, Dorothy's Diary, Princess Petunia, Last Unicorn, Snazzy the Snail, Stinky the Lonely Dragon, Naggy's Negotiation, Archie the Archdruid, Befriending Artor Morin",,0,"Individual adventures not available separately.

Refers to invalid Hourly GP, suggests 'appropriate' gold but does not actually award it.

Offers open-ended Magical Gift of Training

Offers multiple Lesser Fey Pacts for common items not listed in treasure section"
WBW-DC-ZION-01,Anna's Embrace,5-10,10,4,Potion of Greater Healing,Bracers of Defense,Talking Doll,,,Paul Gabat,3500 + 20 each,
WBW-DC-ZION-02,Alexander's Hand,5-10,10,4,Potion of Greater Healing,Boots of Speed,"Pole of Collapsing, Compass minor property",,"Marked by Lightning, Raga's Wish",Paul Gabat,3000,Greater Pact Gift: Legendary magic item for use only in this adventure
WBW-DC-ZION-03,Noctis' Sacrifice,5-10,10,4,Potion of Comprehension,Mantle of Spell Resistance,"Veteran's Cane, Repulsive property",,Five-Leaf Clover Initiative,Paul Gabat,5000,
WBW-DC-ZODIAC-00,Luna Park,1-4,2,2,Keoghtom's Ointment,"Bag of Holding, Language property (Primordial)",,,"Luna Lightbearer, Mask of the Zodiacs",Steven Truong,500,
WBW-DC-ZODIAC-01,The Pied Piper and the Rat King,1-4,2,4,"Potion of Advantage, Spell Scroll of Tasha's Caustic Brew, Potion of Greater Healing","Hat of Vermin, Guardian property","Instrument of the Bards (Doss Lute), Language property (Sylvan/Rat/Rodent)",,"Friend Like Me!, Shadow Tiger, Eye of the Tiger, Revenge of the Rakshasa, Mask of the Zodiacs: Tiger, Pact of The Maharani, Gold Temple Noble",Steven Truong,500,Magical Gift of Training: Cook's Utensils
WBW-DC-ZODIAC-02,"Udder Chaos, The Holy Cowspiracy",1-4,3,4,"Potion of Hill Giant Strength, Keoghtom's Ointment, Spell Scroll of Summon Fey","Nature's Mantle, Language property (Dwarvish/Ox/Bovine)","Illuminator's Tattoo, Delver property",Fey Pact Item: Horn of Silent Alarm,"Pact of the Herder, Shadow Ox, Mark of the Beast, Mask of the Zodiacs: Ox",Steven Truong,500,Magical Gift of Training: Brewer's Supplies
WBW-DC-ZODIAC-03,Revenge of the Rakshasa,5-10,8,4,"Dust of Disappearance, Keoghtom's Ointment, Spell Scroll of Comprehend Languages","Horn of Valhalla (Silver), Guardian property","Pipe of Smoke Monsters, Language property (Infernal/Tiger/Big Cat)",,,Steven Truong,5000,Magical Gift of Training: Glassblower's tools
WBW-DC-ZODIAC-04,The Jade Hare,1-4,3,4,"Dust of Dryness, Spell Scroll of Moonbeam, Keoghtom's Ointment","Boots of Striding and Springing, Guardian property","Cloak of Billowing, Language property (Celestial/Rabbit)",,"Experimental Subject, Pact of the Jade Hare, Rabbit Slayer, Shadow Rabbit, Usagi Friend, Mask of the Zodiacs: Rabbit, Shrub Life",Steven Truong,500,Magical Gift of Training: Alchemist supplies
WBW-DC-ZODIAC-05,Fey With The Dragon Tattoo,5-10,8,4,"Spell Scroll of Rime's Binding Ice, Spell Scroll of Nathair's Mischief, Keoghtom's Ointment","Staff of the Woodlands, Guardian property","Masquerade Tattoo, Language property (Draconic)","Fey Pact Item: Amethyst Lodestone, Language property (Draconic)","Shadow Dragon, Dragon's Nightmare, Pact of the Dragon Lord, Pact of the Roaring Tide, Mask of the Zodiacs: Dragon",Steven Truong,5000,Magical Gift of Training: Water Vehicles
WBW-DC-ZODIAC-06,Nightmare of the Naga,5-10,8,4,"Spell Scroll of Revivify, Keoghtom's Ointment","Bracers of Defense, Guardian property","Talking Doll, Language property (Abyssal)",,"Shadow Serpent, Pact of The Pearl, Pact of The Ophidian, Sheba's Gift, Mask of the Zodiacs: Serpent",Steven Truong,5000,"Magical Gift of Training: Performance

Deck of Illusions listed in handouts, not given in adventure."
WBW-DC-ZODIAC-07,A Fey At The Races,5-10,8,2,Keoghtom's Ointment,"Ring of Free Action, Guardian property",,"Fey Pact Item: Figurine of Wondrous Power (Obsidian Steed), Language property (Infernal/Horse)","Pact of The Qilin, Pact of The Rider, Hell Rider, Mask of the Zodiacs: Horse",Steven Truong,5000,Magical Gift of Training: Athletics
WBW-DC-ZODIAC-08,The Golden Goats,5-10,8,4,"Spell Scroll of Speak with Plants, Potion of Growth, Keoghtom's Ointment","Figurine of Wondrous Power (Ivory Goat), Guardian property","Veteran's Cane, Language property (Giant/Sheep/Goat)",,"Shadow Goat, Pact of The Shepherd, Pact of The Satyr Sisters, Spirit Cleansing, Trollslayer, Mask of the Zodiacs: Goat",Steven Truong,5000,Magical Gift of Training: Herbalism Kit
WBW-DC-ZODIAC-09,Monkey Magic,5-10,8,4,"Spell Scroll of See Invisibility, Potion of Advantage, Keoghtom's Ointment","Bell Branch, Guardian property","Pole of Collapsing, Conscientious property","Fey Pact Item: Carpet of Flying (3'x5'), Language property (Gith/Ape/Primate/Simian)","Pact of The Stone Sage, Shadow Monkey, Path of the Asura, Dharma Seed, Mask of the Zodiacs: Monkey",Steven Truong,5000,Magical Gift of Training: Daily Inspiration
WBW-DC-ZODIAC-10,Fey of a Feather,5-10,8,4,"Spell Scroll of Ashardalon's Stride, Potion of Resistance (Necrotic), Keoghtom's Ointment","Quall's Feather Token (Tree), Guardian property","Staff of Birdcalls, War Leader property","Fey Pact Item: Lifewell Tattoo, Language property (Primordial/Chicken/Avian)","Pact of the Fenghuang, Pact of the Shadow Chicken, Phoenix Down, Mask of the Zodiacs: Chicken",Steven Truong,5000,Magical Gift of Training: Navigator's Tools
WBW-DC-ZODIAC-11,The Curious Incident of the Blink Dog in the Feywilds,5-10,8,4,"Spell Scroll of Blink, Potion of Growth, Keoghtom's Ointment","Ioun Stone of Protection, Guardian property","Cloak of Billowing, Compass property","Fey Pact Item: Eldritch Claw Tattoo, Language property (Primordial/Dog/Canine)","Pact of the Guardian, Pact of the Shadow Dog, Feywild Puppies, Mask of the Zodiacs: Dog",Steven Truong,5000,Magical Gift of Training: Animal Handling
WBW-DC-ZODIAC-12,Seven Hamurai,5-10,8,4,"Spell Scroll of Summon Lesser Demons, Potion of Greater Healing, Keoghtom's Ointment","Elven Chain, Guardian property","Pipe of Smoke Monsters, Unbreakable property","Fey Pact Item: Manual of Bodily Health, Language property (Orc/Pig/Swine)","Pact of the Fool, Pact of the Shadow Pig, Mask of the Zodiacs: Pig",Steven Truong,5000,Magical Gift of Training: Leatherworker's Tools
WBW-DC-ZODIAC-13,Familiar's Feast,5-10,8,4,"Spell Scroll of Catnap, Potion of Advantage, Keoghtom's Ointment","Boots of Speed, Guardian property","Wand of Pyrotechnics, Beacon property","Fey Pact Item: Cloak of Displacement, Language property (Sylvan/Cat)","Pact of the Familiar, Feywild Kitten, Mask of the Zodiacs: Cat",Steven Truong,5000,Magical Gift of Training: Persuasion
WBW-Magic Item Table A,These items are listed as available awards to include in the WBW DC documentation. They are included here for reference until a more complete list of items from individual adventures is available.,,,,,"Eyes of Minute Seeing, Bag of Holding, Slippers of Spider Climbing, Bracers of Archery, Boots of Striding and Springing, Figurine of Wondrous Power (Silver Raven), Gem of Brightness, Instrument of the Bards (Doss Lute), Pear of Power, Cloak of Protection, Feywild Shard, Nature's Mantle",,,,,,
WBW-Magic Item Table B,,,,,,"Veteran's Cane, Wand of Pyrotechnics, Cloak of Billowing, Pipe of Smoke Monsters, Illuminator's Tattoo, Cloak of Many Fashions, Hat of Vermin, Staff of Bird Calls, Pole of Collapsing, Talking Doll, Wand of Smiles",,,,,,
WBW-Magic Item Table C,,,,,,"Staff of Swarming Insects, Staff of the Woodlands, Mantle of Spell Resistance, Horn of Valhalla (Silver), Figurine of Wondrous Power (Ivory Goat), Elven Chain, Bell Branch, Boots of Speed, Bracers of Defense, Ioun Stone of Protection, Quall's Feather Token (Tree), Ring of Free Action",,,,,,
